Arizona Azorian 
Caucasian's Caucasians 
Causey Cayuse 
Causey's Cayuses 
Cayuga's Cayugas 
Cebu's Cebus 
Cecily Cicely 
Cecily's Cicely's 
Celia's Ciales 
Celt's Celts 
Celtic's Celtics 
Cenis Cisne 
Ceres Cree's Crees 
Cereus Creuse 
Ceto Cote 
Ceylon Conley 
Ceylon's Conley's 
Ch'in Chin 
Chadian's Chadians 
Chadron Chardon 
Chadron's Chardon's 
Chain Chian China 
Chaitin Chianti Chitina 
Chaitin's Chianti's Chiantis Chitina's 
Champagne's Champagnes 
Chanel Chelan 
Chappell's Chappells 
Chardonnay's Chardonnays 
Charleston's Charlestons 
Charmin's Chrisman 
Chartism's Chartisms Christmas 
Chartist's Chartists 
Chartreuse's Chartreuses 
Chasidism Chassidim 
Chasidisms Chassidism 
Chateaubriand's Chateaubriands 
Cheer Chere 
Cheer's Chere's 
Cheiron Chireno 
Cherokee's Cherokees 
Cheviot's Cheviots 
Chevrolet's Chevrolets 
Chewa's Chewas 
Cheyenne's Cheyennes 
Chians China's 
Chickasaw's Chickasaws 
Chihuahua's Chihuahuas 
Childers's Childress 
Chilean's Chileans 
Chimaera's Chimaeras 
Chimera's Chimeras 
Chindit's Chindits 
Chinee's Chinese 
Chinook's Chinooks 
Chipewyan's Chipewyans 
Chippendale's Chippendales 
Chippewa's Chippewas 
Chloromycetin's Chloromycetins 
Choctaw's Choctaws 
Chosen Cohens 
Christ's Christs 
Christendom's Christendoms 
Christian Christina 
Christian's Christians 
Christiania's Christianias 
Christingle's Christingles 
Christmastide's Christmastides 
Christmastime's Christmastimes 
Chrysler's Chryslers 
Cinderella's Cinderellas 
CinemaScope Cinemascope 
Cipro's Cipros 
Circassian's Circassians 
Cistercian's Cistercians 
Clarion Colrain Conrail 
Clarion's Colrain's Conrail's 
Clarkdale's Clarksdale 
Clarkston Clarkton's 
Claysville Clayville's 
Clement's Clements 
Clemons Clemson 
Cleo Cole 
Clio's Clios 
Clomid's Clomids 
Clorets Closter 
Clorets's Closter's 
Clover Colver 
Clover's Colver's 
Clydesdale's Clydesdales 
Cobdenite's Cobdenites 
Cockney's Cockneys 
Coden Conde 
Coden's Conde's 
Cognac's Cognacs 
Cohocton's Coshocton 
Coke's Cokes 
Colerain's Cornelia's 
Collier Corelli 
Collier's Colliers 
Colliersville Collierville's 
Collin's Collins 
Colombian's Colombians 
Coloradan's Coloradans 
Columba Cumbola 
Columba's Cumbola's 
Comanche's Comanches 
Communion's Communions 
Communist's Communists 
Comoran Cromona 
Comoro's Comoros 
Concord's Concords 
Conestoga's Conestogas 
Confederate's Confederates 
Confucian's Confucians 
Confucianism's Confucianisms 
Conger's Congers 
Congregationalism's Congregationalisms 
Congregationalist's Congregationalists 
Connersville Connerville's 
Connor's Connors 
Conor's Corson 
Conover's Converso 
Cooksville Cookville's 
Copt's Copts 
Corbett's Corbetts 
Corfiot's Corfiots 
Corinthian's Corinthians 
Cornhusker's Cornhuskers 
Cornus Cronus 
Cornus's Cronus's 
Cortland's Cortlands 
Corton Croton 
Corton's Croton's 
Corydon Croydon 
Costner Creston 
Costner's Creston's 
Cotswold's Cotswolds 
Coulter's Coulters 
Cou�ist's Cou�ists 
Craigsville Craigville's 
Creek's Creeks 
Creole's Creoles 
Cretan's Cretans 
Cricetus Curtice's 
Croatian's Croatians 
Croesus Crouse's Crusoe's 
Croswell Crowell's 
Crouse Crusoe Cuero's 
Crow's Crows 
Crucifixion's Crucifixions 
Cuban's Cubans 
Cumming's Cummings 
Curacao's Curacaos 
Curtis's Curtiss 
Cyprian's Cyprians 
Cyprinodont's Cyprinodonts 
Cypriot's Cypriots 
Czech's Czechs 
Czechoslovakian's Czechoslovakians 
